,billing_amount,merchant_name,merchant_category
0,100.0,PARTY FUN,GENERAL
1,89.0,NATURES BASKET LTD,FOOD
2,420.0,DONUT BAKER,TRAVEL
3,110.0,JUST BAKE,FOOD
4,216.0,KFC RESTAURANTS.,FOOD
5,178.0,THE BIG MARKE4.,FOOD
6,240.74,Reliance Market,FOOD
7,76.0,GOOD HEALTH HOSPITALIT,FOOD
8,280.0,Lins Caters,FOOD
9,240.0,Lins Caters,FOOD
10,122.0,"CALIFORNIA ,",FOOD
11,117.0,"CALIFORNIA ,",FOOD
12,657.0,AHMEDIA STORES,FOOD
13,1.0,DOMINOS.,FOOD
14,140.0,CHAKH LE.,FOOD
15,160.0,Lins Caters,FOOD
16,596.0,HAAGEN DAZS,FOOD
17,377.0,AHMEDIA STORES,FOOD
18,444.0,SHRAM ENTERPRISES,FOOD
19,100.0,MEAZA GINGER BANGALORE,FOOD
20,299.93,MORE MEGASTORE,FOOD
21,358.0,ARTVILLE CAFE,FOOD
22,325.92,MORE MEGASTORE,FOOD
23,155.0,KADAI CRUST,FOOD
24,1287.09,DMART SIDDAPURA,FOOD
25,416.0,,
26,416.0,,
27,416.0,,
28,320.0,,
29,416.0,,
30,1250.0,,
31,1250.0,,
32,1250.0,,
33,1250.0,,
34,958.0,,
35,3000.0,,
36,3000.0,,
37,3000.0,,
38,5000.0,,
39,1500.0,,
40,920.0,,
41,5000.0,,
42,1500.0,,
43,308.62,SHELL S R N S ENTERPRI,GENERAL
44,482.0,RADIANT HEALTH CARE PV,GENERAL
45,1013.52,BESCOM,UTILITIES
46,721.0,RICHIES RAHHAMS,FOOD
47,100.0,HTTP WWW MOBIKWIK COM,MOBILE
48,200.0,Paytm Mobile Solutions,UTILITIES
49,150.0,MEAZA GINGER BANGALORE,FOOD
50,505.0,KRISPY KREME,FOOD
51,766.0,WWW SWIGGY IN,FOOD
52,117.0,FASO SUPER SHOPPE,FOOD
53,558.0,GRAND MART HYPER MARKE,FOOD
